Cliente;Spesa;Lead;CPL;CPM;CTR;Istituto Zoho;Manager;Tipologia;Nome Campagna;Nome Adset;Data;CPC;Impressioni;Click
Med & Tech;26.05;9;2.89;12.52;6.01;;;;Open Day - Total Lift - DR. RICAPITO EZIO;PUBBLICO FREDDO - RICAPITO | Dal 15.05 al 28.05;2026-05-16;0.21;2081;125
Med & Tech;20.52;2;10.26;10.96;3.31;;;;Open Day - Total Lift - DOTT.SSA DEL VESCOVO;PUBBLICO FREDDO - DEL VESCOVO | Dal 14.05 al 27.05;2026-05-16;0.33;1873;62
Med & Tech;13.19;6;2.20;10.70;7.70;;;;Open Day - Total Lift - DOTT. FABIO SCUDERI;PUBBLICO FREDDO - SCUDERI | Dal 16.05 al 29.05;2026-05-16;0.14;1233;95
Med & Tech;15.38;5;3.08;9.85;5.51;;;;Open Day - Total Lift - DOTT. LO GIUDICE;PUBBLICO FREDDO - LO GIUDICE | Dal 15.05 al 28.05;2026-05-16;0.18;1562;86
Med & Tech;19.43;3;6.48;11.65;2.70;;;;Open Day - Total Lift - DOTT.SSA TIZIANA MASTROMARINO;PUBBLICO FREDDO - MASTROMARINO | Dal 14.05 al 27.05;2026-05-16;0.43;1668;45
Med & Tech;17.89;0;;11.65;2.54;;;;Open Day - Total Lift - STUDIO DOTT. RICCIARDI LUMINA;PUBBLICO FREDDO - RICCIARDI | Dal 13.05 al 26.05;2026-05-16;0.46;1536;39
Med & Tech;21.46;4;5.37;12.02;3.14;;;;Open Day - Total Lift - STUDIO DOTT.SSA FRANCESCA PES;PUBBLICO FREDDO - PES | Dal 12.05 al 25.05;2026-05-16;0.38;1785;56
Med & Tech;12.40;0;;8.68;2.59;;;;Open Day - Total Lift - DOTT.SSA ROSALBA DI NATALE;PUBBLICO FREDDO - IMBESI | Dal 11.05 al 24.05;2026-05-16;0.34;1429;37
Med & Tech;24.02;0;;30.03;5.63;;;;Open Day - Total Lift - DR ZUFFADA E NARDI;PUBBLICO FREDDO - ZUFFADA E NARDI | Dal 07.05 al 20.05;2026-05-16;0.53;800;45
Med & Tech;24.53;1;24.53;11.37;2.13;;;;Open Day - Total Lift - STUDIO DEL DOTT. MATTEO PARADISO;PUBBLICO FREDDO - STUDIO PARADISO | Dal 08.05 al 21.05;2026-05-16;0.53;2158;46
Med & Tech;23.76;2;11.88;11.27;3.80;;;;Open Day - Total Lift -  STUDIO DELLA DOTT. SSA BRUNA ARGENTI;PUBBLICO FREDDO - DENTALWELLNESSART | dal 07.05 al 20.05;2026-05-16;0.30;2108;80
Med & Tech;40.53;0;;11.05;2.07;;;;Open Day - Total Lift - FARMACIA MAURO OPEN DAY DOTT.SSA MARCELLA OLIVETI;PUBBLICO FREDDO - OLIVETI | Dal 06.05 al 19.05;2026-05-16;0.53;3668;76
Med & Tech;20.60;2;10.30;12.35;2.34;;;;Open Day - Total Lift - STUDIO DR RENATO CASADEI E DOTT SSA VIRGINIA CASADEI;PUBBLICO FREDDO - CASADEI | Dal 05.05 al 18.05;2026-05-16;0.53;1668;39
Med & Tech;20.69;0;;17.71;3.51;;;;Open Day - Total Lift - Studio della dott.ssa Maria Grangia;PUBBLICO FREDDO - GRANGIA | Dal 04.05 al 17.05;2026-05-16;0.50;1168;41
