Cliente;Spesa;Lead;CPL;CPM;CTR;Istituto Zoho;Manager;Tipologia;Nome Campagna;Nome Adset;Data;CPC;Impressioni;Click
Dott.ssa Orsola Bruno AP;37.87;0;;18.80;3.87;;;;Remarketing - Ebook - Best - 11.05;Best rem 06.05;2026-05-16;0.49;2014;78
SALUS 2024;16.41;2;8.21;6.72;2.05;;;;un mese di trattamenti corpo a 437€;PUBBLICO FREDDO | Dal 06.05 al 19.05;2026-05-16;0.33;2441;50
Laboratorio Estetico Catia;10.18;4;2.55;3.37;4.27;;;;[SV] Laboratorio Estetico - Lead Gen;Martano (20km) - Donna 25+ - Vacum - Copia;2026-05-16;0.08;3022;129
Laboratorio Estetico Catia;9.29;1;9.29;5.69;2.88;;;;[SV] Laboratorio Estetico - Lead Gen;Martano (20km) - Donna 25+ / Rimodellante - Copia;2026-05-16;0.20;1634;47
B-ewolution by Beauty Way;20.72;1;20.72;12.42;1.80;;;;Prova tecnologia a 57€ + consulenza;PUBBLICO FREDDO | dal 06.05 al 19.05;2026-05-16;0.69;1668;30
Donnauomo;2.91;0;;5.33;0.92;;;;"PE_ABO_LeadGen_Recruiting_""Estetista""_30.04";Broad_Ponsacco + OSP_CAP_D_20/65_VID_v1_30.04;2026-05-16;0.58;546;5
Donnauomo;5.81;0;;6.80;3.27;;;;"PE_ABO_LeadGen_Viso_""Anti Aging 360 Viso""_08.04";Broad_Ponsacco_CAP_D_20/65_IMG_v2_15.05;2026-05-16;0.21;855;28
Donnauomo;5.73;0;;9.05;1.42;;;;"PE_ABO_LeadGen_Viso_""Anti Aging 360 Viso""_08.04";Broad_Ponsacco_CAP_D_20/65_IMG_v1_01.05;2026-05-16;0.64;633;9
Donnauomo;5.84;0;;8.81;1.81;;;;"PE_ABO_LeadGen_Corpo_""Anti Aging 360 Corpo""_09.01";Broad_Ponsacco_CAP_D_20/65_VID_v1_10.01;2026-05-16;0.49;663;12
Centro Estetico Enrica;25.01;3;8.34;5.36;1.54;;;;GIB | Lead Gen | Perfect Shape;Broad | F | 25-64 | 16km | 13.04.26;2026-05-16;0.35;4668;72
ADV - ELYSIR CURNO;24.89;2;12.45;8.47;1.33;;;;6 entrate palestra metabolica + trattamento corpo a 99€;PUBBLICO FREDDO | dal 24.04 al 07.05;2026-05-16;0.64;2937;39
ADV ESTETICA PAMELA;35.33;1;35.33;7.61;1.94;;;;Prenota la tua consulenza gratuita.;PUBBLICO FREDDO | dal 05.05 al 16.05;2026-05-16;0.39;4642;90
ADV LINEA PERFETTA;22.50;2;11.25;14.07;1.75;;;;2 trattamenti corpo a 147€;PUBBLICO FREDDO | dal 30.04 al 13.05;2026-05-16;0.80;1599;28
Black Queen Beauty Art;13.68;0;;9.18;1.95;;;;Lead Generations terza fase;Gruppo contatti 3 fase;2026-05-16;0.47;1491;29
AD ACCOUNT 1 Estetica e mente;17.49;0;;5.35;3.12;;;;200426 COD CORPO 67;200426 COD CORPO 67;2026-05-16;0.17;3272;102
ADV Linea Più Casale;24.80;0;;9.58;2.20;;;;Trattamento Viso + Prova T-Shape a 117€;PUBBLICO FREDDO | dal 13.05 al 26.05;2026-05-16;0.44;2590;57
ADV Linea Più Casale;27.55;1;27.55;8.40;1.40;;;;Consulenza Specialistica + Trattamento a soli 79€;PUBBLICO FREDDO | dal 06.05 al 19.05;2026-05-16;0.60;3279;46
Farmacia Padre Pio;24.64;0;;5.57;2.17;;;;3 sedute corpo in 21 giorni a 297€;PUBBLICO FREDDO | Dal 11.05 al 24.05;2026-05-16;0.26;4423;96
ADV - Body Laser;9.41;3;3.14;9.99;5.41;;;;CBO | Lead Gen | 197 euro;TOFU | Old Ads;2026-05-16;0.18;942;51
ADV - Centro Benessere Polverino;10.26;1;10.26;4.51;1.89;;;;[SV] - Trattamento Infrabaldan + T-Shape;[SV] - Trattamento 59€;2026-05-16;0.24;2273;43
ADV Centro Estetico Eden ;21.01;0;;7.74;1.22;;;;Trattamento corpo di prova a 49€;PUBBLICO FREDDO | Dal 12.05 al 25.05;2026-05-16;0.64;2713;33
ADV - Charme estetica benessere;27.75;1;27.75;9.71;1.99;;;;un mese di trattamenti a 340€;PUBBLICO FREDDO | dal 05.05 al 18.05;2026-05-16;0.49;2859;57
ADV Tachi Estetica ;21.13;0;;6.65;1.32;;;;Special Pack: 4 sedute (12 trattamenti totali) a 257€;PUBBLICO FREDDO | dal 05.05 al 18.05;2026-05-16;0.50;3176;42
ADV Maison Kuku;27.71;4;6.93;8.24;2.29;;;;1 trattamento corpo a 67€;PUBBLICO FREDDO | dal 14.05 al 27.05;2026-05-16;0.36;3362;77
ADV - Mudra Centro Benessere;24.03;0;;9.65;1.65;;;;Consulenza + priva gratuita +.30% di sconto sui percorsi corpo;PUBBLICO FREDDO | Dal 11.05 al 21.05;2026-05-16;0.59;2489;41
ADV - Dermal Center;20.23;0;;11.92;1.24;;;;Primo trattamento prova a 39€;PUBBLICO FREDDO - TELEMARKETING | Dal 07.05 al 20.05;2026-05-16;0.96;1697;21
ADV - Farmacia Martelletto;31.08;1;31.08;5.84;2.03;;;;Trattamento Prova a 47€;PUBBLICO FREDDO | Dal 13.05 al 26.05;2026-05-16;0.29;5324;108
ADV - Farmacia Martelletto;5.12;0;;0.57;0.10;;;;Maggio 2026;Maggio 2026;2026-05-16;0.57;9053;9
Tyla Institute Estetica;1.47;0;;0.74;1.45;;;;"Post: ""Il collagene è ciò che dà struttura, compattezza...""";"Post: ""Il collagene è ciò che dà struttura, compattezza...""";2026-05-16;0.05;1999;29
Tyla Institute Estetica;17.10;0;;17.57;2.57;;;;6 Incontri a 670€ (invece di 1200€).;PUBBLICO FREDDO | Dal 13.05 al 26.05;2026-05-16;0.68;973;25
Tyla Institute Estetica;1.98;0;;1.36;2.13;;;;"Post: ""La bilancia non racconta davvero chi sei. È solo...""";"Post: ""La bilancia non racconta davvero chi sei. È solo...""";2026-05-16;0.06;1452;31
Tyla Institute Estetica;2.77;0;;3.87;6.01;;;;Post di Instagram: La nuova frontiera nella lotta...;Post di Instagram: La nuova frontiera nella lotta...;2026-05-16;0.06;715;43
ADV - Oasi di Nadia;24.61;1;24.61;15.66;1.91;;;;Prova trattamento tshape2 a 59€;PUBBLICO FREDDO | dal 05.05 al 18.05;2026-05-16;0.82;1572;30
ADV - Pietrabianca;25.79;9;2.87;5.60;2.97;;;;OTB | LEAD GEN;Pomigliano + 10km | 20+ - New Form 10.03;2026-05-16;0.19;4608;137
ADV - Brera13 Beauty ;18.98;0;;24.71;1.82;;;;2 TRATTAMENTI CORPO A 97€;PUBBLICO FREDDO | dal 13.05 al 26.05;2026-05-16;1.36;768;14
L'estetica che ti cambia la vita - ITALIA;23.16;1;23.16;9.38;1.13;;;;2 sedute rimodellanti a 97€;PUBBLICO FREDDO - VIZIATA | Dal 13.05 al 26.05;2026-05-16;0.83;2468;28
L'estetica che ti cambia la vita - ITALIA;30.74;2;15.37;6.63;2.42;;;;2 Trattamenti Rimodellanti a soli 97€;PUBBLICO FREDDO - 3D FARMA - TELEMARKETING | Dal 12.05 al 23.05;2026-05-16;0.27;4634;112
L'estetica che ti cambia la vita - ITALIA;17.42;1;17.42;5.27;1.39;;;;2 Trattamenti Rimodellanti a soli 97€;PUBBLICO FREDDO - AVERSANO ORABONA - TELEMARKETING | Dal 12.05 al 25.05;2026-05-16;0.38;3305;46
L'estetica che ti cambia la vita - ITALIA;23.59;2;11.80;15.53;2.37;;;;Consulenza + Trattamento a soli 67€;PUBBLICO FREDDO - SUPERSUN | Dal 11.05 al 24.05;2026-05-16;0.66;1519;36
ADV ARTESTETICA ;24.14;1;24.14;9.59;2.03;;;;Trattamento con radiofrequenza a 57€;PUBBLICO FREDDO | Dal 07.05 al 20.05;2026-05-16;0.47;2517;51
ADV - Atelier Fiumara;15.01;0;;19.12;1.91;;;;Prova tecnologia a 39€;PUBBLICO FREDDO | Dal 13.05 al 25.05;2026-05-16;1.00;785;15
SkinMedic Lecco new;22.41;3;7.47;4.75;1.85;;;;[SV] - CORPO;Lecco +20km Corpo - 13/05;2026-05-16;0.26;4714;87
Baldan Intelligence;20.98;0;;0.60;0.16;;;;AURA - Awareness - AWA;AW - ITA;2026-05-16;0.37;35016;57
Baldan Intelligence;9.94;0;;1.33;0.92;;;;AURA - Awareness - INT;AW - ITA;2026-05-16;0.14;7470;69
Baldan Group USA;360.92;2;180.46;256.34;9.16;;;;BALDAN - INFRA | US | TOF | INFRABALDAN | LEADGEN;BALDAN - INFRA | MANUAL + AI | GLP 1;2026-05-16;2.80;1408;129
Baldan Group USA;391.32;4;97.83;239.49;8.45;;;;BALDAN - INFRA | US | TOF | INFRABALDAN | LEADGEN;BALDAN - INFRA | MANUAL + AI | CLIENT RETENTION;2026-05-16;2.84;1634;138
Baldan Group USA;372.57;3;124.19;178.86;6.63;;;;BALDAN - INFRA | US | TOF | INFRABALDAN | LEADGEN;BALDAN - INFRA | MANUAL + AI | RECURRING REVENUE;2026-05-16;2.70;2083;138
