Cliente;Spesa;Lead;CPL;CPM;CTR;Istituto Zoho;Manager;Tipologia;Nome Campagna;Nome Adset;Data;CPC;Impressioni;Click
ADV Slim'Up;8.07;0;;5.36;0.86;;;;Laser | Cold | Modulo | Lead | ABO | 13/01/2026;Broad | D | 18/65+ | Marzocca | 17km | Valore di conversione;2026-05-16;0.62;1505;13
Arianna Menis;10.05;3;3.35;5.29;3.84;;;;Nuova campagna Contatti;UNIQA SUMMER EXPERIENCE CORMONS;2026-05-16;0.14;1900;73
Arianna Menis;35.00;1;35.00;6.53;1.12;;;;7 GIORNI INTENSIVI A 340€;PUBBLICO FREDDO | dal 12.05 al 25.05;2026-05-16;0.58;5362;60
Arianna Menis;22.71;1;22.71;3.91;1.33;;;;Consulenza con nutrizionista + bioimpedenziometria gratuita;PUBBLICO FREDDO | dal 14.05 al 27.05;2026-05-16;0.29;5802;77
Nicola Cossater Beauty;6.80;0;;2.94;0.95;;;;Instagram post: Come scegliere il centro di...;Instagram post: Come scegliere il centro di...;2026-05-16;0.31;2315;22
Riflesso Evolution;1.55;0;;10.13;2.61;;;;[LG] Manuela Shala broad 29/04/2026;Rmkt;2026-05-16;0.39;153;4
Riflesso Evolution;2.29;0;;12.45;1.09;;;;[LG] Manuela Shala broad 29/04/2026;Broad;2026-05-16;1.15;184;2
Riflesso Evolution;9.64;0;;8.51;2.29;;;;[LG] Manuela Shala Lead Ads 29/04/2026;Broad;2026-05-16;0.37;1133;26
Centro estetico natura;3.86;0;;8.54;1.33;;;;INFRATERMIK;INFRATERMIK 05-26;2026-05-16;0.64;452;6
Exthetyc;14.50;1;14.50;2.48;1.23;Exthetyc;;;Seduta Total Body a 68€;PUBBLICO FREDDO | dal 16.05 27.05;2026-05-16;0.20;5839;72
Exthetyc;32.04;5;6.41;3.98;2.71;Exthetyc;;;Prova trattamento corpo Tcl a 37€;PUBBLICO FREDDO | dal 07.05 al 18.05;2026-05-16;0.15;8049;218
ADV SANITAL ECO STORE;10.10;1;10.10;12.92;4.09;;;;05/04/26 - corpo Nutriestetica - COLD - ABO;corpo donna - Catania +5 - W 18-65 - ALL - Volume;2026-05-16;0.32;782;32
ADV SANITAL ECO STORE;3.13;0;;0.59;0.11;;;;Nuova campagna Notorietà;Nuovo gruppo di inserzioni Notorietà;2026-05-16;0.52;5338;6
Eternity LB - Account pubblicitario;3.64;2;1.82;11.90;4.90;;;;Nuova campagna Contatti wonder 2;Nuovo gruppo di inserzioni Contatti;2026-05-16;0.24;306;15
Leuce - Medicina Estetica;23.87;0;;8.02;2.08;;;;Welcome rimodellami a 89€;PUBBLICO FREDDO | dal 06.05 al 19.05;2026-05-16;0.39;2978;62
Beauty Art;4.46;1;4.46;2.79;1.56;Beauty Art;;;Contatti 2026 - Laser;Laser - Broad - F - Età 25-50 - Provincia di Ragusa - Video 2 mod Promo 69€ - Testo 2 - Titolo 1 - Modulo 2 Laser promo 69€;2026-05-16;0.18;1599;25
Beauty Art;8.53;0;;2.14;0.73;Beauty Art;;;Contatti 2026 - Laser;Laser - Broad - F - Età 25-50 - Provincia di Ragusa - Imm 2 Promo 19€ - Testo 2 - Titolo 1 - Modulo 3 Laser promo 19€;2026-05-16;0.29;3993;29
Nuove Sensazioni;27.73;0;;6.07;1.23;;;;1 trattamento corpo a 67€;PUBBLICO FREDDO | dal 29.04 al 12.05;2026-05-16;0.50;4566;56
Beauty Point Srl;31.55;0;;8.89;1.94;;;;2 sedute super rimodellanti a 157€;PUBBLICO FREDDO | dal 06.05 al 19.05;2026-05-16;0.46;3548;69
Fiori di loto;5.89;0;;2.28;7.36;FIORI DI LOTO;;;LASER PELI - PROVA GRATUITA - DM - MAGGIO campagna Interazioni;Nuovo gruppo di inserzioni Interazioni;2026-05-16;0.03;2580;190
ADV Solelù;16.89;3;5.63;5.14;1.77;;;;DCD_Taranto+Grottaglie_3ESC poi 2ESC;Maggio_2ESC79€;2026-05-16;0.29;3284;58
Farmacia Di Gennaro;24.55;6;4.09;4.41;2.34;;;;Trattamento Localizzato + Diagnosi Inclusa a 49€.;PUBBLICO FREDDO | Dal 13.05 al 26.05;2026-05-16;0.19;5565;130
Farmacia Di Gennaro;0.62;0;;4.73;3.82;;;;"Post: ""Proteggiti con l’eleganza di 𝐂𝐚𝐮𝐝𝐚𝐥𝐢𝐞!""";"Post: ""Proteggiti con l’eleganza di 𝐂𝐚𝐮𝐝𝐚𝐥𝐢𝐞!""";2026-05-16;0.12;131;5
Farmacia Di Gennaro;7.86;0;;3.16;1.21;;;;Caudalie - Maggio 2026 - Contatti;Caudalie - Maggio 2026 - Contatti;2026-05-16;0.26;2485;30
ADV CENTRO ESTETICO AMBRA;3.66;0;;5.99;1.31;;;;[LEAD] Welcome experience 59€;[LEAD] Welcome experience 59€;2026-05-16;0.46;611;8
Farmacia Gagliardelli;22.68;2;11.34;9.09;3.05;;;;Prova T-Shape2 a 49€;PUBBLICO FREDDO | dal 05.05 al 18.05;2026-05-16;0.30;2494;76
ADV Visamour;12.19;2;6.10;5.07;2.54;;;;Face Clinic 67€ - maggio;Nuovo gruppo di inserzioni Contatti 8.05;2026-05-16;0.20;2405;61
