Cliente;Spesa;Lead;CPL;CPM;CTR;Istituto Zoho;Manager;Tipologia;Nome Campagna;Nome Adset;Data;CPC;Impressioni;Click
Med & Tech;29.16;9;3.24;10.73;4.82;;;;Open Day - Total Lift - DR. RICAPITO EZIO;PUBBLICO FREDDO - RICAPITO | Dal 15.05 al 28.05;2026-05-18;0.22;2717;131
Med & Tech;18.27;1;18.27;10.28;3.43;;;;Open Day - Total Lift - DOTT.SSA DEL VESCOVO;PUBBLICO FREDDO - DEL VESCOVO | Dal 14.05 al 27.05;2026-05-18;0.30;1778;61
Med & Tech;17.94;4;4.49;9.80;4.42;;;;Open Day - Total Lift - DOTT. FABIO SCUDERI;PUBBLICO FREDDO - SCUDERI | Dal 16.05 al 29.05;2026-05-18;0.22;1831;81
Med & Tech;20.86;8;2.61;7.85;3.80;;;;Open Day - Total Lift - DOTT. LO GIUDICE;PUBBLICO FREDDO - LO GIUDICE | Dal 15.05 al 28.05;2026-05-18;0.21;2657;101
Med & Tech;15.51;2;7.76;11.98;2.63;;;;Open Day - Total Lift - DOTT.SSA TIZIANA MASTROMARINO;PUBBLICO FREDDO - MASTROMARINO | Dal 14.05 al 27.05;2026-05-18;0.46;1295;34
Med & Tech;16.73;1;16.73;11.92;1.50;;;;Open Day - Total Lift - STUDIO DOTT. RICCIARDI LUMINA;PUBBLICO FREDDO - RICCIARDI | Dal 13.05 al 26.05;2026-05-18;0.80;1404;21
Med & Tech;20.26;4;5.07;12.55;3.22;;;;Open Day - Total Lift - STUDIO DOTT.SSA FRANCESCA PES;PUBBLICO FREDDO - PES | Dal 12.05 al 25.05;2026-05-18;0.39;1614;52
Med & Tech;20.39;2;10.20;9.72;2.67;;;;Open Day - Total Lift - DOTT.SSA ROSALBA DI NATALE;PUBBLICO FREDDO - IMBESI | Dal 11.05 al 24.05;2026-05-18;0.36;2097;56
Med & Tech;27.05;2;13.53;24.95;4.98;;;;Open Day - Total Lift - DR ZUFFADA E NARDI;PUBBLICO FREDDO - ZUFFADA E NARDI | Dal 07.05 al 20.05;2026-05-18;0.50;1084;54
Med & Tech;19.81;2;9.90;10.32;2.34;;;;Open Day - Total Lift - STUDIO DEL DOTT. MATTEO PARADISO;PUBBLICO FREDDO - STUDIO PARADISO | Dal 08.05 al 21.05;2026-05-18;0.44;1920;45
Med & Tech;21.48;2;10.74;10.38;3.82;;;;Open Day - Total Lift -  STUDIO DELLA DOTT. SSA BRUNA ARGENTI;PUBBLICO FREDDO - DENTALWELLNESSART | dal 07.05 al 20.05;2026-05-18;0.27;2069;79
Med & Tech;35.89;1;35.89;8.36;1.40;;;;Open Day - Total Lift - FARMACIA MAURO OPEN DAY DOTT.SSA MARCELLA OLIVETI;PUBBLICO FREDDO - OLIVETI | Dal 06.05 al 19.05;2026-05-18;0.60;4295;60
Med & Tech;5.11;0;;13.07;3.84;;;;Open Day - Total Lift - STUDIO DR RENATO CASADEI E DOTT SSA VIRGINIA CASADEI;PUBBLICO FREDDO - CASADEI | Dal 05.05 al 18.05;2026-05-18;0.34;391;15
