Cliente;Spesa;Lead;CPL;CPM;CTR;Istituto Zoho;Manager;Tipologia;Nome Campagna;Nome Adset;Data;CPC;Impressioni;Click
ADV Slim'Up;3.19;0;;4.29;1.21;;;;Laser | Cold | Modulo | Lead | ABO | 13/01/2026;Broad | D | 18/65+ | Marzocca | 17km | Volume;2026-05-18;0.35;744;9
Nicola Cossater Beauty;15.70;0;;3.30;1.22;;;;Instagram post: Come scegliere il centro di...;Instagram post: Come scegliere il centro di...;2026-05-18;0.27;4761;58
Riflesso Evolution;2.85;0;;9.97;1.05;;;;[LG] Manuela Shala broad 29/04/2026;Rmkt;2026-05-18;0.95;286;3
Riflesso Evolution;3.00;0;;13.76;2.29;;;;[LG] Manuela Shala broad 29/04/2026;Broad;2026-05-18;0.60;218;5
Riflesso Evolution;10.86;1;10.86;8.82;1.14;;;;[LG] Manuela Shala Lead Ads 29/04/2026;Broad;2026-05-18;0.78;1231;14
Centro estetico natura;13.72;0;;12.74;1.30;;;;INFRATERMIK;INFRATERMIK 05-26;2026-05-18;0.98;1077;14
Exthetyc;28.58;0;;2.80;2.56;Exthetyc;;;Seduta Total Body a 68€;PUBBLICO FREDDO | dal 16.05 27.05;2026-05-18;0.11;10202;261
Exthetyc;26.77;1;26.77;3.75;2.72;Exthetyc;;;Prova trattamento corpo Tcl a 37€;PUBBLICO FREDDO | dal 07.05 al 18.05;2026-05-18;0.14;7144;194
ADV SANITAL ECO STORE;17.42;0;;9.82;2.87;;;;05/04/26 - corpo Nutriestetica - COLD - ABO;corpo donna - Catania +5 - W 18-65 - ALL - Volume;2026-05-18;0.34;1774;51
ADV SANITAL ECO STORE;13.74;0;;9.21;2.21;;;;02/02 - FE corpo uomo/donna - COLD - ABO;FE corpo uomo - Catania +7 - M 18-65 - ALL - nuovo modulo 27/03/2026;2026-05-18;0.42;1492;33
Eternity LB - Account pubblicitario;6.31;2;3.16;10.05;1.59;;;;Nuova campagna Contatti wonder 2;Nuovo gruppo di inserzioni Contatti;2026-05-18;0.63;628;10
Leuce - Medicina Estetica;23.73;1;23.73;7.72;1.07;;;;Welcome rimodellami a 89€;PUBBLICO FREDDO | dal 06.05 al 19.05;2026-05-18;0.72;3075;33
Beauty Art;5.00;0;;2.00;0.28;Beauty Art;;;Contatti 2026 - Laser;Laser - Broad - F - Età 25-50 - Provincia di Ragusa - Imm 2 Promo 19€ - Testo 2 - Titolo 1 - Modulo 3 Laser promo 19€;2026-05-18;0.71;2497;7
Nuove Sensazioni;14.64;1;14.64;6.23;1.15;;;;1 trattamento corpo a 67€;PUBBLICO FREDDO | dal 29.04 al 12.05;2026-05-18;0.54;2349;27
Beauty Point Srl;26.25;0;;9.79;1.42;;;;2 sedute super rimodellanti a 157€;PUBBLICO FREDDO | dal 06.05 al 19.05;2026-05-18;0.69;2681;38
Fiori di loto;5.46;0;;2.82;5.85;FIORI DI LOTO;;;LASER PELI - PROVA GRATUITA - DM - MAGGIO campagna Interazioni;Nuovo gruppo di inserzioni Interazioni;2026-05-18;0.05;1933;113
ADV Solelù;18.05;1;18.05;4.95;1.34;;;;DCD_Taranto+Grottaglie_3ESC poi 2ESC;Maggio_2ESC79€;2026-05-18;0.37;3647;49
Farmacia Di Gennaro;20.65;4;5.16;4.22;1.67;;;;Trattamento Localizzato + Diagnosi Inclusa a 49€.;PUBBLICO FREDDO | Dal 13.05 al 26.05;2026-05-18;0.25;4898;82
ADV CENTRO ESTETICO AMBRA;6.13;0;;5.88;0.86;;;;[LEAD] Welcome experience 59€;[LEAD] Welcome experience 59€;2026-05-18;0.68;1042;9
Farmacia Gagliardelli;21.58;2;10.79;9.00;2.46;;;;Prova T-Shape2 a 49€;PUBBLICO FREDDO | dal 05.05 al 18.05;2026-05-18;0.37;2398;59
ADV Visamour;31.22;2;15.61;6.56;1.93;;;;Face Clinic 67€ - maggio;Nuovo gruppo di inserzioni Contatti 8.05;2026-05-18;0.34;4757;92
Dott.ssa Orsola Bruno AP;46.64;0;;22.77;2.69;;;;Remarketing - Ebook - Best - 11.05;Best rem 06.05;2026-05-18;0.85;2048;55
Andreea Francu Renzo Gestione;14.51;1;14.51;5.43;0.79;;;;Corso Falconara marittima 7/8 Giugno  con foto new renzo;Corso Falconara marittima 25/26 Gennaio 70 km;2026-05-18;0.69;2673;21
SALUS 2024;19.09;3;6.36;5.20;1.12;;;;un mese di trattamenti corpo a 437€;PUBBLICO FREDDO | Dal 06.05 al 19.05;2026-05-18;0.47;3671;41
