Cliente;Spesa;Lead;CPL;CPM;CTR;Istituto Zoho;Manager;Tipologia;Nome Campagna;Nome Adset;Data;CPC;Impressioni;Click
Laboratorio Estetico Catia;9.85;1;9.85;3.43;3.76;;;;[SV] Laboratorio Estetico - Lead Gen;Martano (20km) - Donna 25+ - Vacum - Copia;2026-05-18;0.09;2871;108
Laboratorio Estetico Catia;8.01;0;;6.29;3.06;;;;[SV] Laboratorio Estetico - Lead Gen;Martano (20km) - Donna 25+ / Rimodellante - Copia;2026-05-18;0.21;1273;39
B-ewolution by Beauty Way;21.98;2;10.99;13.88;1.33;;;;Prova tecnologia a 57€ + consulenza;PUBBLICO FREDDO | dal 06.05 al 19.05;2026-05-18;1.05;1584;21
Donnauomo;4.60;0;;4.91;1.71;;;;"PE_ABO_LeadGen_Recruiting_""Estetista""_30.04";Broad_Ponsacco + OSP_CAP_D_20/65_VID_v1_30.04;2026-05-18;0.29;936;16
Donnauomo;2.79;0;;3.59;3.09;;;;"PE_ABO_LeadGen_Viso_""Anti Aging 360 Viso""_08.04";Broad_Ponsacco_CAP_D_20/65_IMG_v2_15.05;2026-05-18;0.12;777;24
Donnauomo;2.03;0;;4.96;1.71;;;;"PE_ABO_LeadGen_Viso_""Anti Aging 360 Viso""_08.04";Broad_Ponsacco_CAP_D_20/65_IMG_v1_01.05;2026-05-18;0.29;409;7
Donnauomo;2.11;0;;4.30;0.61;;;;"PE_ABO_LeadGen_Corpo_""Anti Aging 360 Corpo""_09.01";Broad_Ponsacco_CAP_D_20/65_VID_v1_10.01;2026-05-18;0.70;491;3
Centro Estetico Enrica;17.71;3;5.90;4.53;1.89;;;;GIB | Lead Gen | Perfect Shape;Broad | F | 25-64 | 16km | 13.04.26;2026-05-18;0.24;3906;74
ADV LINEA PERFETTA;24.28;1;24.28;16.05;1.78;;;;2 trattamenti corpo a 147€;PUBBLICO FREDDO | dal 30.04 al 13.05;2026-05-18;0.90;1513;27
Black Queen Beauty Art;23.81;1;23.81;9.08;1.56;;;;Lead Generations terza fase;Gruppo contatti 3 fase;2026-05-18;0.58;2622;41
ADV Linea Più Casale;22.14;0;;11.51;1.56;;;;Trattamento Viso + Prova T-Shape a 117€;PUBBLICO FREDDO | dal 13.05 al 26.05;2026-05-18;0.74;1923;30
ADV Linea Più Casale;24.51;0;;8.78;2.26;;;;Consulenza Specialistica + Trattamento a soli 79€;PUBBLICO FREDDO | dal 06.05 al 19.05;2026-05-18;0.39;2790;63
Farmacia Padre Pio;23.54;2;11.77;5.59;1.52;;;;3 sedute corpo in 21 giorni a 297€;PUBBLICO FREDDO | Dal 11.05 al 24.05;2026-05-18;0.37;4210;64
ADV - Body Laser;17.09;4;4.27;12.97;4.63;;;;CBO | Lead Gen | 197 euro;TOFU | Old Ads;2026-05-18;0.28;1318;61
ADV - Centro Benessere Polverino;9.73;0;;4.52;1.77;;;;[SV] - Trattamento Infrabaldan + T-Shape;[SV] - Trattamento 59€;2026-05-18;0.26;2151;38
ADV Centro Estetico Eden ;8.07;0;;4.81;0.77;;;;Trattamento corpo di prova a 49€;PUBBLICO FREDDO | Dal 12.05 al 25.05;2026-05-18;0.62;1679;13
ADV - Charme estetica benessere;24.88;0;;12.05;2.08;;;;un mese di trattamenti a 340€;PUBBLICO FREDDO | dal 05.05 al 18.05;2026-05-18;0.58;2064;43
ADV Maison Kuku;20.58;1;20.58;7.55;3.23;;;;1 trattamento corpo a 67€;PUBBLICO FREDDO | dal 14.05 al 27.05;2026-05-18;0.23;2725;88
ADV - Mudra Centro Benessere;23.64;1;23.64;10.40;1.45;;;;Consulenza + priva gratuita +.30% di sconto sui percorsi corpo;PUBBLICO FREDDO | Dal 11.05 al 21.05;2026-05-18;0.72;2273;33
ADV - Dermal Center;26.89;3;8.96;15.93;1.78;;;;Primo trattamento prova a 39€;PUBBLICO FREDDO - TELEMARKETING | Dal 07.05 al 20.05;2026-05-18;0.90;1688;30
ADV - Farmacia Martelletto;25.23;1;25.23;6.22;1.90;;;;Trattamento Prova a 47€;PUBBLICO FREDDO | Dal 13.05 al 26.05;2026-05-18;0.33;4054;77
ADV - Farmacia Martelletto;5.04;0;;0.55;0.12;;;;Maggio 2026;Maggio 2026;2026-05-18;0.46;9099;11
Tyla Institute Estetica;1.01;0;;1.70;7.59;;;;"Post: ""Con il passare degli anni cambia solo l’età… o...""";"Post: ""Con il passare degli anni cambia solo l’età… o...""";2026-05-18;0.02;593;45
Tyla Institute Estetica;33.99;2;17.00;32.84;4.64;;;;6 Incontri a 670€ (invece di 1200€).;PUBBLICO FREDDO | Dal 13.05 al 26.05;2026-05-18;0.71;1035;48
Tyla Institute Estetica;2.21;0;;2.92;1.32;;;;"Post: ""La bilancia non racconta davvero chi sei. È solo...""";"Post: ""La bilancia non racconta davvero chi sei. È solo...""";2026-05-18;0.22;757;10
Tyla Institute Estetica;2.12;0;;3.85;5.44;;;;Post di Instagram: La nuova frontiera nella lotta...;Post di Instagram: La nuova frontiera nella lotta...;2026-05-18;0.07;551;30
ADV - Oasi di Nadia;27.19;2;13.60;15.74;1.45;;;;Prova trattamento tshape2 a 59€;PUBBLICO FREDDO | dal 05.05 al 18.05;2026-05-18;1.09;1727;25
ADV - Pietrabianca;14.36;3;4.79;4.58;2.64;;;;OTB | LEAD GEN;Pomigliano + 10km | 20+ - New Form 10.03;2026-05-18;0.17;3138;83
ADV - Brera13 Beauty ;33.92;2;16.96;23.70;2.17;;;;2 TRATTAMENTI CORPO A 97€;PUBBLICO FREDDO | dal 13.05 al 26.05;2026-05-18;1.09;1431;31
L'estetica che ti cambia la vita - ITALIA;28.06;0;;11.25;2.17;;;;2 sedute rimodellanti a 97€;PUBBLICO FREDDO - VIZIATA | Dal 13.05 al 26.05;2026-05-18;0.52;2494;54
L'estetica che ti cambia la vita - ITALIA;24.05;0;;7.45;2.08;;;;2 Trattamenti Rimodellanti a soli 97€;PUBBLICO FREDDO - 3D FARMA - TELEMARKETING | Dal 12.05 al 23.05;2026-05-18;0.36;3227;67
L'estetica che ti cambia la vita - ITALIA;22.99;1;22.99;6.27;1.42;;;;2 Trattamenti Rimodellanti a soli 97€;PUBBLICO FREDDO - AVERSANO ORABONA - TELEMARKETING | Dal 12.05 al 25.05;2026-05-18;0.44;3665;52
L'estetica che ti cambia la vita - ITALIA;25.49;1;25.49;14.75;1.50;;;;Consulenza + Trattamento a soli 67€;PUBBLICO FREDDO - SUPERSUN | Dal 11.05 al 24.05;2026-05-18;0.98;1728;26
ADV ARTESTETICA ;19.99;0;;12.03;2.05;;;;Trattamento con radiofrequenza a 57€;PUBBLICO FREDDO | Dal 07.05 al 20.05;2026-05-18;0.59;1661;34
ADV - Atelier Fiumara;18.75;0;;18.55;2.97;;;;Prova tecnologia a 39€;PUBBLICO FREDDO | Dal 13.05 al 25.05;2026-05-18;0.63;1011;30
SkinMedic Lecco new;2.75;0;;4.86;2.30;;;;[SV] - LeadGen_PMU_18/05;Lecco +20km -  PMU;2026-05-18;0.21;566;13
SkinMedic Lecco new;17.84;3;5.95;5.01;1.38;;;;[SV] - CORPO;Lecco +20km Corpo - 13/05;2026-05-18;0.36;3561;49
Baldan Intelligence;19.93;0;;0.57;0.13;;;;AURA - Awareness - AWA;AW - ITA;2026-05-18;0.43;35185;46
Baldan Intelligence;10.14;0;;1.35;0.72;;;;AURA - Awareness - INT;AW - ITA;2026-05-18;0.19;7523;54
Baldan Group USA;436.63;6;72.77;199.10;8.25;;;;BALDAN - INFRA | US | TOF | INFRABALDAN | LEADGEN;BALDAN - INFRA | MANUAL + AI | GLP 1;2026-05-18;2.41;2193;181
Baldan Group USA;430.50;3;143.50;209.08;8.40;;;;BALDAN - INFRA | US | TOF | INFRABALDAN | LEADGEN;BALDAN - INFRA | MANUAL + AI | CLIENT RETENTION;2026-05-18;2.49;2059;173
Baldan Group USA;450.50;10;45.05;166.85;6.70;;;;BALDAN - INFRA | US | TOF | INFRABALDAN | LEADGEN;BALDAN - INFRA | MANUAL + AI | RECURRING REVENUE;2026-05-18;2.49;2700;181
