Cliente;Spesa;Lead;CPL;CPM;CTR;Istituto Zoho;Manager;Tipologia;Nome Campagna;Nome Adset;Data;CPC;Impressioni;Click
ADV Slim'Up;10.93;0;;5.63;0.93;;;;Laser | Cold | Modulo | Lead | ABO | 13/01/2026;Broad | D | 18/65+ | Marzocca | 17km | Valore di conversione;2026-05-17;0.61;1943;18
Arianna Menis;11.84;0;;4.58;2.44;;;;Nuova campagna Contatti;UNIQA SUMMER EXPERIENCE CORMONS;2026-05-17;0.19;2587;63
Arianna Menis;23.28;1;23.28;7.39;1.05;;;;7 GIORNI INTENSIVI A 340€;PUBBLICO FREDDO | dal 12.05 al 25.05;2026-05-17;0.71;3151;33
Arianna Menis;24.58;1;24.58;3.85;1.18;;;;Consulenza con nutrizionista + bioimpedenziometria gratuita;PUBBLICO FREDDO | dal 14.05 al 27.05;2026-05-17;0.33;6379;75
Nicola Cossater Beauty;15.56;0;;3.30;1.17;;;;Instagram post: Come scegliere il centro di...;Instagram post: Come scegliere il centro di...;2026-05-17;0.28;4718;55
Riflesso Evolution;2.48;0;;11.87;1.44;;;;[LG] Manuela Shala broad 29/04/2026;Rmkt;2026-05-17;0.83;209;3
Riflesso Evolution;3.74;0;;16.92;3.17;;;;[LG] Manuela Shala broad 29/04/2026;Broad;2026-05-17;0.53;221;7
Riflesso Evolution;10.76;1;10.76;7.07;1.12;;;;[LG] Manuela Shala Lead Ads 29/04/2026;Broad;2026-05-17;0.63;1521;17
Centro estetico natura;6.72;0;;10.12;1.66;;;;INFRATERMIK;INFRATERMIK 05-26;2026-05-17;0.61;664;11
Exthetyc;38.23;3;12.74;3.52;2.30;Exthetyc;;;Seduta Total Body a 68€;PUBBLICO FREDDO | dal 16.05 27.05;2026-05-17;0.15;10858;250
Exthetyc;32.70;2;16.35;4.28;2.66;Exthetyc;;;Prova trattamento corpo Tcl a 37€;PUBBLICO FREDDO | dal 07.05 al 18.05;2026-05-17;0.16;7637;203
ADV SANITAL ECO STORE;8.47;0;;13.47;1.91;;;;05/04/26 - corpo Nutriestetica - COLD - ABO;corpo donna - Catania +5 - W 18-65 - ALL - Volume;2026-05-17;0.71;629;12
ADV SANITAL ECO STORE;3.36;0;;0.54;0.03;;;;Nuova campagna Notorietà;Nuovo gruppo di inserzioni Notorietà;2026-05-17;1.68;6242;2
Eternity LB - Account pubblicitario;5.87;3;1.96;25.19;4.29;;;;Nuova campagna Contatti wonder 2;Nuovo gruppo di inserzioni Contatti;2026-05-17;0.59;233;10
Leuce - Medicina Estetica;24.78;0;;7.37;0.98;;;;Welcome rimodellami a 89€;PUBBLICO FREDDO | dal 06.05 al 19.05;2026-05-17;0.75;3362;33
Beauty Art;5.86;0;;2.49;0.98;Beauty Art;;;Contatti 2026 - Laser;Laser - Broad - F - Età 25-50 - Provincia di Ragusa - Video 2 mod Promo 69€ - Testo 2 - Titolo 1 - Modulo 2 Laser promo 69€;2026-05-17;0.25;2356;23
Beauty Art;6.01;1;6.01;2.10;0.77;Beauty Art;;;Contatti 2026 - Laser;Laser - Broad - F - Età 25-50 - Provincia di Ragusa - Imm 2 Promo 19€ - Testo 2 - Titolo 1 - Modulo 3 Laser promo 19€;2026-05-17;0.27;2856;22
Nuove Sensazioni;25.07;0;;6.14;1.42;;;;1 trattamento corpo a 67€;PUBBLICO FREDDO | dal 29.04 al 12.05;2026-05-17;0.43;4083;58
Beauty Point Srl;25.61;0;;9.36;1.50;;;;2 sedute super rimodellanti a 157€;PUBBLICO FREDDO | dal 06.05 al 19.05;2026-05-17;0.62;2736;41
Fiori di loto;6.49;0;;2.43;5.77;FIORI DI LOTO;;;LASER PELI - PROVA GRATUITA - DM - MAGGIO campagna Interazioni;Nuovo gruppo di inserzioni Interazioni;2026-05-17;0.04;2670;154
